Country/area,Technology,Grid connection,Year,Installed electricity capacity by country/area (MW)
Canada,On-grid Solar photovoltaic,Off-grid,2000,..
Canada,On-grid Solar photovoltaic,Off-grid,2001,..
Canada,On-grid Solar photovoltaic,Off-grid,2002,..
Canada,On-grid Solar photovoltaic,Off-grid,2003,..
Canada,On-grid Solar photovoltaic,Off-grid,2004,..
Canada,On-grid Solar photovoltaic,Off-grid,2005,..
Canada,On-grid Solar photovoltaic,Off-grid,2006,..
Canada,On-grid Solar photovoltaic,Off-grid,2007,..
Canada,On-grid Solar photovoltaic,Off-grid,2008,..
Canada,On-grid Solar photovoltaic,Off-grid,2009,..
Canada,On-grid Solar photovoltaic,Off-grid,2010,..
Canada,On-grid Solar photovoltaic,Off-grid,2011,..
Canada,On-grid Solar photovoltaic,Off-grid,2012,..
Canada,On-grid Solar photovoltaic,Off-grid,2013,..
Canada,On-grid Solar photovoltaic,Off-grid,2014,..
Canada,On-grid Solar photovoltaic,Off-grid,2015,..
Canada,On-grid Solar photovoltaic,Off-grid,2016,..
Canada,On-grid Solar photovoltaic,Off-grid,2017,..
Canada,On-grid Solar photovoltaic,Off-grid,2018,..
Canada,On-grid Solar photovoltaic,Off-grid,2019,..
Canada,On-grid Solar photovoltaic,Off-grid,2020,..
Canada,On-grid Solar photovoltaic,On-grid,2000,7
Canada,On-grid Solar photovoltaic,On-grid,2001,9
Canada,On-grid Solar photovoltaic,On-grid,2002,10
Canada,On-grid Solar photovoltaic,On-grid,2003,12
Canada,On-grid Solar photovoltaic,On-grid,2004,14
Canada,On-grid Solar photovoltaic,On-grid,2005,18
Canada,On-grid Solar photovoltaic,On-grid,2006,22
Canada,On-grid Solar photovoltaic,On-grid,2007,29
Canada,On-grid Solar photovoltaic,On-grid,2008,38
Canada,On-grid Solar photovoltaic,On-grid,2009,107
Canada,On-grid Solar photovoltaic,On-grid,2010,249
Canada,On-grid Solar photovoltaic,On-grid,2011,628
Canada,On-grid Solar photovoltaic,On-grid,2012,766
Canada,On-grid Solar photovoltaic,On-grid,2013,1210
Canada,On-grid Solar photovoltaic,On-grid,2014,1843
Canada,On-grid Solar photovoltaic,On-grid,2015,2519
Canada,On-grid Solar photovoltaic,On-grid,2016,2665
Canada,On-grid Solar photovoltaic,On-grid,2017,2932
Canada,On-grid Solar photovoltaic,On-grid,2018,3095
Canada,On-grid Solar photovoltaic,On-grid,2019,3327
Canada,On-grid Solar photovoltaic,On-grid,2020,3342
Canada,Off-grid Solar photovoltaic,Off-grid,2000,..
Canada,Off-grid Solar photovoltaic,Off-grid,2001,..
Canada,Off-grid Solar photovoltaic,Off-grid,2002,..
Canada,Off-grid Solar photovoltaic,Off-grid,2003,..
Canada,Off-grid Solar photovoltaic,Off-grid,2004,..
Canada,Off-grid Solar photovoltaic,Off-grid,2005,..
Canada,Off-grid Solar photovoltaic,Off-grid,2006,..
Canada,Off-grid Solar photovoltaic,Off-grid,2007,..
Canada,Off-grid Solar photovoltaic,Off-grid,2008,..
Canada,Off-grid Solar photovoltaic,Off-grid,2009,..
Canada,Off-grid Solar photovoltaic,Off-grid,2010,..
Canada,Off-grid Solar photovoltaic,Off-grid,2011,..
Canada,Off-grid Solar photovoltaic,Off-grid,2012,..
Canada,Off-grid Solar photovoltaic,Off-grid,2013,..
Canada,Off-grid Solar photovoltaic,Off-grid,2014,..
Canada,Off-grid Solar photovoltaic,Off-grid,2015,..
Canada,Off-grid Solar photovoltaic,Off-grid,2016,..
Canada,Off-grid Solar photovoltaic,Off-grid,2017,..
Canada,Off-grid Solar photovoltaic,Off-grid,2018,..
Canada,Off-grid Solar photovoltaic,Off-grid,2019,..
Canada,Off-grid Solar photovoltaic,Off-grid,2020,..
Canada,Off-grid Solar photovoltaic,On-grid,2000,..
Canada,Off-grid Solar photovoltaic,On-grid,2001,..
Canada,Off-grid Solar photovoltaic,On-grid,2002,..
Canada,Off-grid Solar photovoltaic,On-grid,2003,..
Canada,Off-grid Solar photovoltaic,On-grid,2004,..
Canada,Off-grid Solar photovoltaic,On-grid,2005,..
Canada,Off-grid Solar photovoltaic,On-grid,2006,..
Canada,Off-grid Solar photovoltaic,On-grid,2007,..
Canada,Off-grid Solar photovoltaic,On-grid,2008,..
Canada,Off-grid Solar photovoltaic,On-grid,2009,..
Canada,Off-grid Solar photovoltaic,On-grid,2010,..
Canada,Off-grid Solar photovoltaic,On-grid,2011,..
Canada,Off-grid Solar photovoltaic,On-grid,2012,..
Canada,Off-grid Solar photovoltaic,On-grid,2013,..
Canada,Off-grid Solar photovoltaic,On-grid,2014,..
Canada,Off-grid Solar photovoltaic,On-grid,2015,..
Canada,Off-grid Solar photovoltaic,On-grid,2016,..
Canada,Off-grid Solar photovoltaic,On-grid,2017,..
Canada,Off-grid Solar photovoltaic,On-grid,2018,..
Canada,Off-grid Solar photovoltaic,On-grid,2019,..
Canada,Off-grid Solar photovoltaic,On-grid,2020,..
Canada,Concentrated solar power,Off-grid,2000,..
Canada,Concentrated solar power,Off-grid,2001,..
Canada,Concentrated solar power,Off-grid,2002,..
Canada,Concentrated solar power,Off-grid,2003,..
Canada,Concentrated solar power,Off-grid,2004,..
Canada,Concentrated solar power,Off-grid,2005,..
Canada,Concentrated solar power,Off-grid,2006,..
Canada,Concentrated solar power,Off-grid,2007,..
Canada,Concentrated solar power,Off-grid,2008,..
Canada,Concentrated solar power,Off-grid,2009,..
Canada,Concentrated solar power,Off-grid,2010,..
Canada,Concentrated solar power,Off-grid,2011,..
Canada,Concentrated solar power,Off-grid,2012,..
Canada,Concentrated solar power,Off-grid,2013,..
Canada,Concentrated solar power,Off-grid,2014,..
Canada,Concentrated solar power,Off-grid,2015,..
Canada,Concentrated solar power,Off-grid,2016,..
Canada,Concentrated solar power,Off-grid,2017,..
Canada,Concentrated solar power,Off-grid,2018,..
Canada,Concentrated solar power,Off-grid,2019,..
Canada,Concentrated solar power,Off-grid,2020,..
Canada,Concentrated solar power,On-grid,2000,..
Canada,Concentrated solar power,On-grid,2001,..
Canada,Concentrated solar power,On-grid,2002,..
Canada,Concentrated solar power,On-grid,2003,..
Canada,Concentrated solar power,On-grid,2004,..
Canada,Concentrated solar power,On-grid,2005,..
Canada,Concentrated solar power,On-grid,2006,..
Canada,Concentrated solar power,On-grid,2007,..
Canada,Concentrated solar power,On-grid,2008,..
Canada,Concentrated solar power,On-grid,2009,..
Canada,Concentrated solar power,On-grid,2010,..
Canada,Concentrated solar power,On-grid,2011,..
Canada,Concentrated solar power,On-grid,2012,..
Canada,Concentrated solar power,On-grid,2013,..
Canada,Concentrated solar power,On-grid,2014,..
Canada,Concentrated solar power,On-grid,2015,..
Canada,Concentrated solar power,On-grid,2016,..
Canada,Concentrated solar power,On-grid,2017,..
Canada,Concentrated solar power,On-grid,2018,..
Canada,Concentrated solar power,On-grid,2019,..
Canada,Concentrated solar power,On-grid,2020,..
Canada,Onshore wind energy,Off-grid,2000,..
Canada,Onshore wind energy,Off-grid,2001,..
Canada,Onshore wind energy,Off-grid,2002,..
Canada,Onshore wind energy,Off-grid,2003,..
Canada,Onshore wind energy,Off-grid,2004,..
Canada,Onshore wind energy,Off-grid,2005,..
Canada,Onshore wind energy,Off-grid,2006,..
Canada,Onshore wind energy,Off-grid,2007,..
Canada,Onshore wind energy,Off-grid,2008,..
Canada,Onshore wind energy,Off-grid,2009,..
Canada,Onshore wind energy,Off-grid,2010,..
Canada,Onshore wind energy,Off-grid,2011,..
Canada,Onshore wind energy,Off-grid,2012,..
Canada,Onshore wind energy,Off-grid,2013,..
Canada,Onshore wind energy,Off-grid,2014,..
Canada,Onshore wind energy,Off-grid,2015,..
Canada,Onshore wind energy,Off-grid,2016,..
Canada,Onshore wind energy,Off-grid,2017,..
Canada,Onshore wind energy,Off-grid,2018,..
Canada,Onshore wind energy,Off-grid,2019,..
Canada,Onshore wind energy,Off-grid,2020,..
Canada,Onshore wind energy,On-grid,2000,92
Canada,Onshore wind energy,On-grid,2001,131
Canada,Onshore wind energy,On-grid,2002,161
Canada,Onshore wind energy,On-grid,2003,327
Canada,Onshore wind energy,On-grid,2004,444
Canada,Onshore wind energy,On-grid,2005,677
Canada,Onshore wind energy,On-grid,2006,1423
Canada,Onshore wind energy,On-grid,2007,1840
Canada,Onshore wind energy,On-grid,2008,2336
Canada,Onshore wind energy,On-grid,2009,3282
Canada,Onshore wind energy,On-grid,2010,3967
Canada,Onshore wind energy,On-grid,2011,5265
Canada,Onshore wind energy,On-grid,2012,6201
Canada,Onshore wind energy,On-grid,2013,7801
Canada,Onshore wind energy,On-grid,2014,9694
Canada,Onshore wind energy,On-grid,2015,11214
Canada,Onshore wind energy,On-grid,2016,11973
Canada,Onshore wind energy,On-grid,2017,12250
Canada,Onshore wind energy,On-grid,2018,12816
Canada,Onshore wind energy,On-grid,2019,13413
Canada,Onshore wind energy,On-grid,2020,13577
Canada,Offshore wind energy,Off-grid,2000,..
Canada,Offshore wind energy,Off-grid,2001,..
Canada,Offshore wind energy,Off-grid,2002,..
Canada,Offshore wind energy,Off-grid,2003,..
Canada,Offshore wind energy,Off-grid,2004,..
Canada,Offshore wind energy,Off-grid,2005,..
Canada,Offshore wind energy,Off-grid,2006,..
Canada,Offshore wind energy,Off-grid,2007,..
Canada,Offshore wind energy,Off-grid,2008,..
Canada,Offshore wind energy,Off-grid,2009,..
Canada,Offshore wind energy,Off-grid,2010,..
Canada,Offshore wind energy,Off-grid,2011,..
Canada,Offshore wind energy,Off-grid,2012,..
Canada,Offshore wind energy,Off-grid,2013,..
Canada,Offshore wind energy,Off-grid,2014,..
Canada,Offshore wind energy,Off-grid,2015,..
Canada,Offshore wind energy,Off-grid,2016,..
Canada,Offshore wind energy,Off-grid,2017,..
Canada,Offshore wind energy,Off-grid,2018,..
Canada,Offshore wind energy,Off-grid,2019,..
Canada,Offshore wind energy,Off-grid,2020,..
Canada,Offshore wind energy,On-grid,2000,..
Canada,Offshore wind energy,On-grid,2001,..
Canada,Offshore wind energy,On-grid,2002,..
Canada,Offshore wind energy,On-grid,2003,..
Canada,Offshore wind energy,On-grid,2004,..
Canada,Offshore wind energy,On-grid,2005,..
Canada,Offshore wind energy,On-grid,2006,..
Canada,Offshore wind energy,On-grid,2007,..
Canada,Offshore wind energy,On-grid,2008,..
Canada,Offshore wind energy,On-grid,2009,..
Canada,Offshore wind energy,On-grid,2010,..
Canada,Offshore wind energy,On-grid,2011,..
Canada,Offshore wind energy,On-grid,2012,..
Canada,Offshore wind energy,On-grid,2013,..
Canada,Offshore wind energy,On-grid,2014,..
Canada,Offshore wind energy,On-grid,2015,..
Canada,Offshore wind energy,On-grid,2016,..
Canada,Offshore wind energy,On-grid,2017,..
Canada,Offshore wind energy,On-grid,2018,..
Canada,Offshore wind energy,On-grid,2019,..
Canada,Offshore wind energy,On-grid,2020,..
Canada,Renewable hydropower,Off-grid,2000,..
Canada,Renewable hydropower,Off-grid,2001,..
Canada,Renewable hydropower,Off-grid,2002,..
Canada,Renewable hydropower,Off-grid,2003,..
Canada,Renewable hydropower,Off-grid,2004,..
Canada,Renewable hydropower,Off-grid,2005,..
Canada,Renewable hydropower,Off-grid,2006,..
Canada,Renewable hydropower,Off-grid,2007,..
Canada,Renewable hydropower,Off-grid,2008,..
Canada,Renewable hydropower,Off-grid,2009,..
Canada,Renewable hydropower,Off-grid,2010,..
Canada,Renewable hydropower,Off-grid,2011,..
Canada,Renewable hydropower,Off-grid,2012,..
Canada,Renewable hydropower,Off-grid,2013,..
Canada,Renewable hydropower,Off-grid,2014,..
Canada,Renewable hydropower,Off-grid,2015,..
Canada,Renewable hydropower,Off-grid,2016,..
Canada,Renewable hydropower,Off-grid,2017,..
Canada,Renewable hydropower,Off-grid,2018,..
Canada,Renewable hydropower,Off-grid,2019,..
Canada,Renewable hydropower,Off-grid,2020,..
Canada,Renewable hydropower,On-grid,2000,67230
Canada,Renewable hydropower,On-grid,2001,66882
Canada,Renewable hydropower,On-grid,2002,69029
Canada,Renewable hydropower,On-grid,2003,70197
Canada,Renewable hydropower,On-grid,2004,70680
Canada,Renewable hydropower,On-grid,2005,71801
Canada,Renewable hydropower,On-grid,2006,72661
Canada,Renewable hydropower,On-grid,2007,73281
Canada,Renewable hydropower,On-grid,2008,74230
Canada,Renewable hydropower,On-grid,2009,74510
Canada,Renewable hydropower,On-grid,2010,74901
Canada,Renewable hydropower,On-grid,2011,75396
Canada,Renewable hydropower,On-grid,2012,75363
Canada,Renewable hydropower,On-grid,2013,75337
Canada,Renewable hydropower,On-grid,2014,75300
Canada,Renewable hydropower,On-grid,2015,79231
Canada,Renewable hydropower,On-grid,2016,80130
Canada,Renewable hydropower,On-grid,2017,80657
Canada,Renewable hydropower,On-grid,2018,81222
Canada,Renewable hydropower,On-grid,2019,81222
Canada,Renewable hydropower,On-grid,2020,81227
Canada,Mixed Hydro Plants,Off-grid,2000,..
Canada,Mixed Hydro Plants,Off-grid,2001,..
Canada,Mixed Hydro Plants,Off-grid,2002,..
Canada,Mixed Hydro Plants,Off-grid,2003,..
Canada,Mixed Hydro Plants,Off-grid,2004,..
Canada,Mixed Hydro Plants,Off-grid,2005,..
Canada,Mixed Hydro Plants,Off-grid,2006,..
Canada,Mixed Hydro Plants,Off-grid,2007,..
Canada,Mixed Hydro Plants,Off-grid,2008,..
Canada,Mixed Hydro Plants,Off-grid,2009,..
Canada,Mixed Hydro Plants,Off-grid,2010,..
Canada,Mixed Hydro Plants,Off-grid,2011,..
Canada,Mixed Hydro Plants,Off-grid,2012,..
Canada,Mixed Hydro Plants,Off-grid,2013,..
Canada,Mixed Hydro Plants,Off-grid,2014,..
Canada,Mixed Hydro Plants,Off-grid,2015,..
Canada,Mixed Hydro Plants,Off-grid,2016,..
Canada,Mixed Hydro Plants,Off-grid,2017,..
Canada,Mixed Hydro Plants,Off-grid,2018,..
Canada,Mixed Hydro Plants,Off-grid,2019,..
Canada,Mixed Hydro Plants,Off-grid,2020,..
Canada,Mixed Hydro Plants,On-grid,2000,..
Canada,Mixed Hydro Plants,On-grid,2001,..
Canada,Mixed Hydro Plants,On-grid,2002,..
Canada,Mixed Hydro Plants,On-grid,2003,..
Canada,Mixed Hydro Plants,On-grid,2004,..
Canada,Mixed Hydro Plants,On-grid,2005,..
Canada,Mixed Hydro Plants,On-grid,2006,..
Canada,Mixed Hydro Plants,On-grid,2007,..
Canada,Mixed Hydro Plants,On-grid,2008,..
Canada,Mixed Hydro Plants,On-grid,2009,..
Canada,Mixed Hydro Plants,On-grid,2010,..
Canada,Mixed Hydro Plants,On-grid,2011,..
Canada,Mixed Hydro Plants,On-grid,2012,..
Canada,Mixed Hydro Plants,On-grid,2013,..
Canada,Mixed Hydro Plants,On-grid,2014,..
Canada,Mixed Hydro Plants,On-grid,2015,..
Canada,Mixed Hydro Plants,On-grid,2016,..
Canada,Mixed Hydro Plants,On-grid,2017,..
Canada,Mixed Hydro Plants,On-grid,2018,..
Canada,Mixed Hydro Plants,On-grid,2019,..
Canada,Mixed Hydro Plants,On-grid,2020,..
Canada,Pumped storage,Off-grid,2000,..
Canada,Pumped storage,Off-grid,2001,..
Canada,Pumped storage,Off-grid,2002,..
Canada,Pumped storage,Off-grid,2003,..
Canada,Pumped storage,Off-grid,2004,..
Canada,Pumped storage,Off-grid,2005,..
Canada,Pumped storage,Off-grid,2006,..
Canada,Pumped storage,Off-grid,2007,..
Canada,Pumped storage,Off-grid,2008,..
Canada,Pumped storage,Off-grid,2009,..
Canada,Pumped storage,Off-grid,2010,..
Canada,Pumped storage,Off-grid,2011,..
Canada,Pumped storage,Off-grid,2012,..
Canada,Pumped storage,Off-grid,2013,..
Canada,Pumped storage,Off-grid,2014,..
Canada,Pumped storage,Off-grid,2015,..
Canada,Pumped storage,Off-grid,2016,..
Canada,Pumped storage,Off-grid,2017,..
Canada,Pumped storage,Off-grid,2018,..
Canada,Pumped storage,Off-grid,2019,..
Canada,Pumped storage,Off-grid,2020,..
Canada,Pumped storage,On-grid,2000,177
Canada,Pumped storage,On-grid,2001,177
Canada,Pumped storage,On-grid,2002,177
Canada,Pumped storage,On-grid,2003,177
Canada,Pumped storage,On-grid,2004,177
Canada,Pumped storage,On-grid,2005,177
Canada,Pumped storage,On-grid,2006,177
Canada,Pumped storage,On-grid,2007,177
Canada,Pumped storage,On-grid,2008,177
Canada,Pumped storage,On-grid,2009,177
Canada,Pumped storage,On-grid,2010,177
Canada,Pumped storage,On-grid,2011,177
Canada,Pumped storage,On-grid,2012,174
Canada,Pumped storage,On-grid,2013,174
Canada,Pumped storage,On-grid,2014,174
Canada,Pumped storage,On-grid,2015,174
Canada,Pumped storage,On-grid,2016,174
Canada,Pumped storage,On-grid,2017,174
Canada,Pumped storage,On-grid,2018,174
Canada,Pumped storage,On-grid,2019,177
Canada,Pumped storage,On-grid,2020,177
Canada,Solid biofuels,Off-grid,2000,..
Canada,Solid biofuels,Off-grid,2001,..
Canada,Solid biofuels,Off-grid,2002,..
Canada,Solid biofuels,Off-grid,2003,..
Canada,Solid biofuels,Off-grid,2004,..
Canada,Solid biofuels,Off-grid,2005,..
Canada,Solid biofuels,Off-grid,2006,..
Canada,Solid biofuels,Off-grid,2007,..
Canada,Solid biofuels,Off-grid,2008,..
Canada,Solid biofuels,Off-grid,2009,..
Canada,Solid biofuels,Off-grid,2010,..
Canada,Solid biofuels,Off-grid,2011,..
Canada,Solid biofuels,Off-grid,2012,..
Canada,Solid biofuels,Off-grid,2013,..
Canada,Solid biofuels,Off-grid,2014,..
Canada,Solid biofuels,Off-grid,2015,..
Canada,Solid biofuels,Off-grid,2016,..
Canada,Solid biofuels,Off-grid,2017,..
Canada,Solid biofuels,Off-grid,2018,..
Canada,Solid biofuels,Off-grid,2019,..
Canada,Solid biofuels,Off-grid,2020,..
Canada,Solid biofuels,On-grid,2000,1227
Canada,Solid biofuels,On-grid,2001,1555
Canada,Solid biofuels,On-grid,2002,1655
Canada,Solid biofuels,On-grid,2003,1955
Canada,Solid biofuels,On-grid,2004,1897
Canada,Solid biofuels,On-grid,2005,1708
Canada,Solid biofuels,On-grid,2006,1715
Canada,Solid biofuels,On-grid,2007,1715
Canada,Solid biofuels,On-grid,2008,1639
Canada,Solid biofuels,On-grid,2009,1708
Canada,Solid biofuels,On-grid,2010,1773
Canada,Solid biofuels,On-grid,2011,1802
Canada,Solid biofuels,On-grid,2012,1858
Canada,Solid biofuels,On-grid,2013,1886
Canada,Solid biofuels,On-grid,2014,2342
Canada,Solid biofuels,On-grid,2015,2318
Canada,Solid biofuels,On-grid,2016,2385
Canada,Solid biofuels,On-grid,2017,2465
Canada,Solid biofuels,On-grid,2018,2477
Canada,Solid biofuels,On-grid,2019,2233
Canada,Solid biofuels,On-grid,2020,2233
Canada,Renewable municipal waste,Off-grid,2000,..
Canada,Renewable municipal waste,Off-grid,2001,..
Canada,Renewable municipal waste,Off-grid,2002,..
Canada,Renewable municipal waste,Off-grid,2003,..
Canada,Renewable municipal waste,Off-grid,2004,..
Canada,Renewable municipal waste,Off-grid,2005,..
Canada,Renewable municipal waste,Off-grid,2006,..
Canada,Renewable municipal waste,Off-grid,2007,..
Canada,Renewable municipal waste,Off-grid,2008,..
Canada,Renewable municipal waste,Off-grid,2009,..
Canada,Renewable municipal waste,Off-grid,2010,..
Canada,Renewable municipal waste,Off-grid,2011,..
Canada,Renewable municipal waste,Off-grid,2012,..
Canada,Renewable municipal waste,Off-grid,2013,..
Canada,Renewable municipal waste,Off-grid,2014,..
Canada,Renewable municipal waste,Off-grid,2015,..
Canada,Renewable municipal waste,Off-grid,2016,..
Canada,Renewable municipal waste,Off-grid,2017,..
Canada,Renewable municipal waste,Off-grid,2018,..
Canada,Renewable municipal waste,Off-grid,2019,..
Canada,Renewable municipal waste,Off-grid,2020,..
Canada,Renewable municipal waste,On-grid,2000,7
Canada,Renewable municipal waste,On-grid,2001,9
Canada,Renewable municipal waste,On-grid,2002,7
Canada,Renewable municipal waste,On-grid,2003,5.5
