country,technology,jobs (thousands),source,notes,year
Romania,Liquid Biofuels,40,EurObserv'ER (2020),,2020
Romania,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Romania,Others,,,,2020
Romania,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Romania,Solar Photovoltaic,1,IRENA estimate,,2020
Romania,Solid Biomass,6.8,EurObserv'ER (2020),,2020
Romania,"Tide, Wave and Ocean Energy",,,,2020
Romania,Wind Energy,2.3,IRENA estimate,,2020
Russia,All technologies,73.104,,,2020
Russia,Biogas,,,,2020
Russia,CSP,,,,2020
Russia,Geothermal Energy,,,,2020
Russia,Hydropower,57.594,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Russia,Liquid Biofuels,,,,2020
Russia,Municipal and industrial waste,,,,2020
Russia,Others,,,,2020
Russia,Solar Heating / Cooling,0.01,IRENA estimate,Based on employment factors and capacity data,2020
Russia,Solar Photovoltaic,3.5,IRENA Estimate,,2020
Russia,Solid Biomass,,,,2020
Russia,"Tide, Wave and Ocean Energy",,,,2020
Russia,Wind Energy,12,IRENA estimate,Based on employment factors and capacity data,2020
Rwanda,All technologies,1.075,,,2020
Rwanda,Biogas,,,,2020
Rwanda,CSP,,,,2020
Rwanda,Geothermal Energy,,,,2020
Rwanda,Hydropower,,,,2020
Rwanda,Liquid Biofuels,,,,2020
Rwanda,Municipal and industrial waste,,,,2020
Rwanda,Others,,,,2020
Rwanda,Solar Heating / Cooling,,,,2020
Rwanda,Solar Photovoltaic,1.075,Mobisol (2016),"The workforce of Mobisol is assumed to be split between Tanzania and Rwanda http://eepafrica.org/mobisol-smart-high-quality-solar-solutions-for-30000-households-in-tanzania/
Half of the workforce of Off-Grid-Electric http://www.ledinside.com/news/2015/12/off_grid_electric_aims_to_light_up_tanzania_with_solar_led_systems
The construction workforce for 8.5 MW project http://www.csmonitor.com/Environment/2015/1123/What-a-Rwandan-solar-plant-is-teaching-Africa-about-clean-energy",2020
Rwanda,Solid Biomass,,,,2020
Rwanda,"Tide, Wave and Ocean Energy",,,,2020
Rwanda,Wind Energy,,,,2020
Senegal,All technologies,0.07,,,2020
Senegal,Biogas,,,,2020
Senegal,CSP,,,,2020
Senegal,Geothermal Energy,,,,2020
Senegal,Hydropower,,,,2020
Senegal,Liquid Biofuels,,,,2020
Senegal,Municipal and industrial waste,,,,2020
Senegal,Others,,,,2020
Senegal,Solar Heating / Cooling,0.03,IRENA estimate,Based on employment factors and capacity data,2020
Senegal,Solar Photovoltaic,,,,2020
Senegal,Solid Biomass,,,,2020
Senegal,"Tide, Wave and Ocean Energy",,,,2020
Senegal,Wind Energy,0.04,IRENA estimate,Based on employment factors and capacity data,2020
Serbia,All technologies,0.49,,,2020
Serbia,Biogas,,,,2020
Serbia,CSP,,,,2020
Serbia,Geothermal Energy,,,,2020
Serbia,Hydropower,,,,2020
Serbia,Liquid Biofuels,,,,2020
Serbia,Municipal and industrial waste,,,,2020
Serbia,Others,,,,2020
Serbia,Solar Heating / Cooling,,,,2020
Serbia,Solar Photovoltaic,0.09,IRENA estimate,,2020
Serbia,Solid Biomass,,,,2020
Serbia,"Tide, Wave and Ocean Energy",,,,2020
Serbia,Wind Energy,0.4,IRENA estimate,Based on employment factors and capacity data,2020
Singapore,All technologies,6,,,2020
Singapore,Biogas,,,,2020
Singapore,CSP,,,,2020
Singapore,Geothermal Energy,,,,2020
Singapore,Hydropower,,,,2020
Singapore,Liquid Biofuels,,,,2020
Singapore,Municipal and industrial waste,,,,2020
Singapore,Others,,,,2020
Singapore,Solar Heating / Cooling,,,,2020
Singapore,Solar Photovoltaic,6,IRENA focal point,,2020
Singapore,Solid Biomass,,,,2020
Singapore,"Tide, Wave and Ocean Energy",,,,2020
Singapore,Wind Energy,,,,2020
Slovakia,All technologies,18.505,,,2020
Slovakia,Biogas,1.1,EurObserv'ER (2020),,2020
Slovakia,CSP,,,,2020
Slovakia,Geothermal Energy,0.423,EurObserv'ER (2020),,2020
Slovakia,Hydropower,1.2,EurObserv'ER (2020),,2020
Slovakia,Liquid Biofuels,4,EurObserv'ER (2020),,2020
Slovakia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Slovakia,Others,,,,2020
Slovakia,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Slovakia,Solar Photovoltaic,0.22,IRENA estimate,,2020
Slovakia,Solid Biomass,11.3,EurObserv'ER (2020),,2020
Slovakia,"Tide, Wave and Ocean Energy",,,,2020
Slovakia,Wind Energy,0.062,IRENA estimate,,2020
Slovenia,All technologies,4.186,,,2020
Slovenia,Biogas,0.1,EurObserv'ER (2020),,2020
Slovenia,CSP,,,,2020
Slovenia,Geothermal Energy,0.363,EurObserv'ER (2020),,2020
Slovenia,Hydropower,1.373,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Slovenia,Liquid Biofuels,0.1,EurObserv'ER (2020),,2020
Slovenia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Slovenia,Others,,,,2020
Slovenia,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Slovenia,Solar Photovoltaic,0.15,IRENA estimate,,2020
Slovenia,Solid Biomass,1.8,EurObserv'ER (2020),,2020
Slovenia,"Tide, Wave and Ocean Energy",,,,2020
Slovenia,Wind Energy,0.1,IRENA estimate,,2020
South Africa,All technologies,53.99,,,2020
South Africa,Biogas,,,,2020
South Africa,CSP,10.442,IRENA focal point,,2020
South Africa,Geothermal Energy,,,,2020
South Africa,Hydropower,0.812,IRENA focal point,Small hydro only.,2020
South Africa,Liquid Biofuels,0.595,IRENA focal point,,2020
South Africa,Municipal and industrial waste,,,,2020
South Africa,Others,,,,2020
South Africa,Solar Heating / Cooling,1.85,IRENA estimate,,2020
South Africa,Solar Photovoltaic,21.451,IRENA focal point,,2020
South Africa,Solid Biomass,,,,2020
South Africa,"Tide, Wave and Ocean Energy",,,,2020
South Africa,Wind Energy,18.84,IRENA focal point,,2020
Spain,All technologies,97.978,,,2020
Spain,Biogas,1.2,EurObserv'ER (2020),,2020
Spain,CSP,5.25,APPA (2021),,2020
Spain,Geothermal Energy,0.97,APPA (2021),,2020
Spain,Hydropower,7.078,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Spain,Liquid Biofuels,4.42,APPA (2021),,2020
Spain,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2020
Spain,Others,,,,2020
Spain,Solar Heating / Cooling,0.91,APPA (2021),,2020
Spain,Solar Photovoltaic,17.5,IRENA estimate,,2020
Spain,Solid Biomass,31.9,APPA (2021),,2020
Spain,"Tide, Wave and Ocean Energy",0.35,APPA (2021),,2020
Spain,Wind Energy,27.8,IRENA estimate,,2020
Sri Lanka,All technologies,2.7,,,2020
Sri Lanka,Biogas,,,,2020
Sri Lanka,CSP,,,,2020
Sri Lanka,Geothermal Energy,,,,2020
Sri Lanka,Hydropower,,,,2020
Sri Lanka,Liquid Biofuels,,,,2020
Sri Lanka,Municipal and industrial waste,,,,2020
Sri Lanka,Others,,,,2020
Sri Lanka,Solar Heating / Cooling,,,,2020
Sri Lanka,Solar Photovoltaic,,,,2020
Sri Lanka,Solid Biomass,,,,2020
Sri Lanka,Wind Energy,2.7,IRENA estimate,Based on employment factors and capacity data,2020
Sweden,All technologies,49.976,,,2020
Sweden,Biogas,0.1,EurObserv'ER (2020),,2020
Sweden,CSP,,,,2020
Sweden,Geothermal Energy,1.896,EurObserv'ER (2020),,2020
Sweden,Hydropower,3.98,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Sweden,Liquid Biofuels,10.9,EurObserv'ER (2020),,2020
Sweden,Municipal and industrial waste,3.4,EurObserv'ER (2020),,2020
Sweden,Others,,,,2020
Sweden,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Sweden,Solar Photovoltaic,3.7,IRENA estimate,,2020
Sweden,Solid Biomass,18.9,EurObserv'ER (2020),,2020
Sweden,"Tide, Wave and Ocean Energy",,,,2020
Sweden,Wind Energy,7,IRENA estimate,,2020
Switzerland,All technologies,13.946,,,2020
Switzerland,Biogas,0.1,SFOE (2016),,2020
Switzerland,CSP,,,,2020
Switzerland,Geothermal Energy,1.2,IEA GEA (2013),,2020
Switzerland,Hydropower,1.239,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Switzerland,Liquid Biofuels,,,,2020
Switzerland,Municipal and industrial waste,0.2,SFOE (2016),,2020
Switzerland,Others,,,,2020
Switzerland,Solar Heating / Cooling,0.34,IRENA estimate,Based on employment factors and capacity data,2020
Switzerland,Solar Photovoltaic,2.8,IRENA estimate,,2020
Switzerland,Solid Biomass,8,SFOE (2016),,2020
Switzerland,"Tide, Wave and Ocean Energy",,,,2020
Switzerland,Wind Energy,0.067,IRENA estimate,,2020
Tajikistan,All technologies,6.87,,,2020
Tajikistan,Biogas,,,,2020
Tajikistan,CSP,,,,2020
Tajikistan,Geothermal Energy,,,,2020
Tajikistan,Hydropower,6.87,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Tajikistan,Liquid Biofuels,,,,2020
Tajikistan,Municipal and industrial waste,,,,2020
Tajikistan,Others,,,,2020
Tajikistan,Solar Heating / Cooling,,,,2020
Tajikistan,Solar Photovoltaic,,,,2020
Tajikistan,Solid Biomass,,,,2020
Tajikistan,"Tide, Wave and Ocean Energy",,,,2020
Tajikistan,Wind Energy,,,,2020
Thailand,All technologies,159.4369609,,,2020
Thailand,Biogas,,,,2020
Thailand,CSP,,,,2020
Thailand,Geothermal Energy,,,,2020
Thailand,Hydropower,,,,2020
Thailand,Liquid Biofuels,138.6,IRENA estimate,Employment factor based estimate (133k in biodiesel),2020
Thailand,Municipal and industrial waste,,,,2020
Thailand,Others,,,,2020
Thailand,Solar Heating / Cooling,0.126960938,IRENA estimate,Based on employment factors and capacity data,2020
Thailand,Solar Photovoltaic,18.71,IEA PVPS (2020),,2020
Thailand,Solid Biomass,,,,2020
Thailand,"Tide, Wave and Ocean Energy",,,,2020
Thailand,Wind Energy,2,IRENA estimate,Based on employment factors and capacity data,2020
Tunisia,All technologies,1.429,,,2020
Tunisia,Biogas,,,,2020
Tunisia,CSP,,,,2020
Tunisia,Geothermal Energy,,,,2020
Tunisia,Hydropower,,,,2020
Tunisia,Liquid Biofuels,0.25,GIZ (2015),,2020
Tunisia,Municipal and industrial waste,,,,2020
Tunisia,Others,,,,2020
Tunisia,Solar Heating / Cooling,0.779,IRENA estimate,Based on employment factors and capacity data,2020
Tunisia,Solar Photovoltaic,0.2,IRENA estimate,,2020
Tunisia,Solid Biomass,,,,2020
Tunisia,"Tide, Wave and Ocean Energy",,,,2020
Tunisia,Wind Energy,0.2,IRENA estimate,,2020
Turkey,All technologies,109.688,,,2020
Turkey,Biogas,0.7,IRENA focal point,,2020
Turkey,CSP,0,IRENA focal point,,2020
Turkey,Geothermal Energy,5.96,IRENA focal point,"5,410 in power and 550 in heat",2020
Turkey,Hydropower,48.028,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Turkey,Liquid Biofuels,0.5,IRENA focal point,,2020
Turkey,Municipal and industrial waste,2.2,IRENA focal point,,2020
Turkey,Others,,,,2020
Turkey,Solar Heating / Cooling,21.6,IRENA estimate,Based on employment factors and capacity data,2020
Turkey,Solar Photovoltaic,7.7,IRENA estimate,Based on employment factors and capacity data,2020
Turkey,Solid Biomass,0,IRENA focal point,,2020
Turkey,"Tide, Wave and Ocean Energy",,,,2020
Turkey,Wind Energy,23,IRENA estimate,Based on employment factors and capacity data,2020
Uganda,All technologies,1.65,,,2020
Uganda,Biogas,,,,2020
Uganda,CSP,,,,2020
Uganda,Geothermal Energy,,,,2020
Uganda,Hydropower,,,,2020
Uganda,Liquid Biofuels,,,,2020
Uganda,Municipal and industrial waste,,,,2020
Uganda,Others,1.65,Guardian (2015),People trained in renewables,2020
Uganda,Solar Heating / Cooling,,,,2020
Uganda,Solar Photovoltaic,,,,2020
Uganda,Solid Biomass,,,,2020
Uganda,"Tide, Wave and Ocean Energy",,,,2020
Uganda,Wind Energy,,,,2020
Ukraine,All technologies,42.469,,,2020
Ukraine,Biogas,,,,2020
Ukraine,CSP,,,,2020
Ukraine,Geothermal Energy,,,,2020
Ukraine,Hydropower,2.369,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Ukraine,Liquid Biofuels,,,,2020
Ukraine,Municipal and industrial waste,,,,2020
Ukraine,Others,,,,2020
Ukraine,Solar Heating / Cooling,,,,2020
Ukraine,Solar Photovoltaic,29.8,IRENA estimate,,2020
Ukraine,Solid Biomass,6.5,Konechenkov and Shmidt (2016),"Direct + Indirect (includes consultants, lawyers, etc). These jobs have been created since 2010",2020
Ukraine,"Tide, Wave and Ocean Energy",,,,2020
Ukraine,Wind Energy,3.8,IRENA estimate,,2020
United Arab Emirates,All technologies,7.75,,,2020
United Arab Emirates,Biogas,,,,2020
United Arab Emirates,CSP,1,IRENA estimate,,2020
United Arab Emirates,Geothermal Energy,,,,2020
United Arab Emirates,Hydropower,,,,2020
United Arab Emirates,Liquid Biofuels,,,,2020
United Arab Emirates,Municipal and industrial waste,,,,2020
United Arab Emirates,Others,0.25,IRENA estimate,"Renewables energy workforce of universities, utilitites and organisations such as Masdar and IRENA",2020
United Arab Emirates,Solar Heating / Cooling,,,,2020
United Arab Emirates,Solar Photovoltaic,6.5,IRENA estimate,Based on employment factors and capacity data,2020
United Arab Emirates,Solid Biomass,,,,2020
United Arab Emirates,"Tide, Wave and Ocean Energy",,,,2020
United Arab Emirates,Wind Energy,,,,2020
United Kingdom,All technologies,124.434,,,2020
United Kingdom,Biogas,3.24,REA (2021),,2020
United Kingdom,CSP,,,,2020
United Kingdom,Geothermal Energy,0.961,EurObserv'ER (2020),,2020
United Kingdom,Hydropower,2.713,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
United Kingdom,Liquid Biofuels,13.196,REA (2021),,2020
United Kingdom,Municipal and industrial waste,8.912,REA (2021),,2020
United Kingdom,Others,,,,2020
United Kingdom,Solar Heating / Cooling,7.114,REA (2021),,2020
United Kingdom,Solar Photovoltaic,6.8,IRENA estimate,,2020
United Kingdom,Solid Biomass,29.17,REA (2021),,2020
United Kingdom,"Tide, Wave and Ocean Energy",0.928,REA (2021),,2020
United Kingdom,Wind Energy,51.4,REA (2021),,2020
Tanzania,All technologies,3.035,,,2020
Tanzania,Biogas,,,,2020
Tanzania,CSP,,,,2020
Tanzania,Geothermal Energy,,,,2020
Tanzania,Hydropower,,,,2020
Tanzania,Liquid Biofuels,1.31,Urbanchuk (2012),,2020
Tanzania,Municipal and industrial waste,,,,2020
Tanzania,Others,,,,2020
Tanzania,Solar Heating / Cooling,,,,2020
Tanzania,Solar Photovoltaic,1.725,Mobisol (2016),"Includes workforce of Mobisol, Off-grid Electric and AKON Solar",2020
Tanzania,Solid Biomass,,,,2020
Tanzania,"Tide, Wave and Ocean Energy",,,,2020
Tanzania,Wind Energy,,,,2020
United States of America,All technologies,838.415,,,2020
United States of America,Biogas,,,,2020
United States of America,CSP,0,Solar Foundation (2021),,2020
United States of America,Geothermal Energy,8.002,US DOE (2021),,2020
United States of America,Hydropower,70.953,US DOE (2021),,2020
United States of America,Liquid Biofuels,271.11,IRENA estimate,,2020
United States of America,Municipal and industrial waste,,,,2020
United States of America,Others,95.578,US DOE (2021),"Includes solar thermal, geothermal, biomass, heat pumps, etc. -- but no breakouts available",2020
United States of America,Solar Heating / Cooling,0,Solar Foundation (2021),,2020
United States of America,Solar Photovoltaic,231.474,Solar Foundation (2021),,2020
United States of America,Solid Biomass,44.481,US DOE (2021),"12,000 in power and 32,400 in woody biomass fuel",2020
United States of America,"Tide, Wave and Ocean Energy",,,,2020
United States of America,Wind Energy,116.817,AWEA (2021),,2020
Uruguay,All technologies,10.389,,,2020
Uruguay,Biogas,0.016,IRENA focal point,,2020
Uruguay,CSP,,,,2020
Uruguay,Geothermal Energy,,,,2020
Uruguay,Hydropower,0.497,IRENA focal point,,2020
Uruguay,Liquid Biofuels,5.45,IRENA focal point,"Estimate based on 3 plants (Bioethanol sugar cane: 1,890 jobs, Bioethanol-Cereal: 1,470 & Biodiesel soy:2,100)",2020
Uruguay,Municipal and industrial waste,0.006,IRENA focal point,,2020
Uruguay,Others,,,,2020
Uruguay,Solar Heating / Cooling,0.2,IRENA focal point,Based on employment factors and capacity data,2020
Uruguay,Solar Photovoltaic,0.67,IRENA focal point,,2020
Uruguay,Solid Biomass,2.55,IRENA focal point,,2020
Uruguay,"Tide, Wave and Ocean Energy",,,,2020
Uruguay,Wind Energy,1,IRENA focal point,,2020
Uzbekistan,All technologies,3.054,,,2020
Uzbekistan,Biogas,,,,2020
Uzbekistan,CSP,,,,2020
Uzbekistan,Geothermal Energy,,,,2020
Uzbekistan,Hydropower,3.054,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Uzbekistan,Liquid Biofuels,,,,2020
Uzbekistan,Municipal and industrial waste,,,,2020
Uzbekistan,Others,,,,2020
Uzbekistan,Solar Heating / Cooling,,,,2020
Uzbekistan,Solar Photovoltaic,,,,2020
Uzbekistan,Solid Biomass,,,,2020
Uzbekistan,"Tide, Wave and Ocean Energy",,,,2020
Uzbekistan,Wind Energy,,,,2020
Venezuela,All technologies,15.062,,,2020
Venezuela,Biogas,,,,2020
Venezuela,CSP,,,,2020
Venezuela,Geothermal Energy,,,,2020
Venezuela,Hydropower,15.062,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Venezuela,Liquid Biofuels,,,,2020
Venezuela,Municipal and industrial waste,,,,2020
Venezuela,Others,,,,2020
Venezuela,Solar Heating / Cooling,,,,2020
Venezuela,Solar Photovoltaic,,,,2020
Venezuela,Solid Biomass,,,,2020
Venezuela,"Tide, Wave and Ocean Energy",,,,2020
Venezuela,Wind Energy,,,,2020
Vietnam,All technologies,228.706,,,2020
Vietnam,Biogas,,,,2020
Vietnam,CSP,,,,2020
Vietnam,Geothermal Energy,,,,2020
Vietnam,Hydropower,96.236,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Vietnam,Liquid Biofuels,2.67,Urbanchuk (2012),,2020
Vietnam,Municipal and industrial waste,,,,2020
Vietnam,Others,,,,2020
Vietnam,Solar Heating / Cooling,,,,2020
Vietnam,Solar Photovoltaic,126.3,IRENA estimate,Based on employment factors and capacity data,2020
Vietnam,Solid Biomass,,,,2020
Vietnam,"Tide, Wave and Ocean Energy",,,,2020
Vietnam,Wind Energy,3.5,IRENA estimate,Based on employment factors and capacity data,2020
Zambia,All technologies,13.172,,,2020
Zambia,Biogas,,,,2020
Zambia,CSP,,,,2020
Zambia,Geothermal Energy,,,,2020
Zambia,Hydropower,11.972,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Zambia,Liquid Biofuels,,,,2020
Zambia,Municipal and industrial waste,,,,2020
Zambia,Others,,,,2020
Zambia,Solar Heating / Cooling,,,,2020
Zambia,Solar Photovoltaic,1.2,IRENA estimate,,2020
Zambia,Solid Biomass,,,,2020
Zambia,"Tide, Wave and Ocean Energy",,,,2020
Zambia,Wind Energy,,,,2020
Zimbabwe,All technologies,0.21,,,2020
Zimbabwe,Biogas,,,,2020
Zimbabwe,CSP,,,,2020
Zimbabwe,Geothermal Energy,,,,2020
Zimbabwe,Hydropower,,,,2020
Zimbabwe,Liquid Biofuels,,,,2020
Zimbabwe,Municipal and industrial waste,,,,2020
Zimbabwe,Others,,,,2020
Zimbabwe,Solar Heating / Cooling,0.21,IRENA estimate,Based on employment factors and capacity data,2020
Zimbabwe,Solar Photovoltaic,,,,2020
Zimbabwe,Solid Biomass,,,,2020
Zimbabwe,"Tide, Wave and Ocean Energy",,,,2020
Zimbabwe,Wind Energy,,,,2020
