Project Name,Project Description,Project Type,MOE Approval Number,Project Approval Type,Proponent Name,Proponent Website,Location,MOE Region,Application Status,EBR Number,,,,,,,
Ryerson University Wind Facility,6 turbines with total generation capacity of 0.0401 MW,Wind, 6198-8CZT3T,REA,Ryerson University,http://www.ee.ryerson.ca/research/windtech.html,Wellington County,West Central,Approved,Not applicable,,,,,,,
Elgin Grovlea Farms Inc's Wind Farm,2 turbine with total generation capactiy of 0.032 MW,Wind,9716-8AVFSQ,REA,Elgin Grovelea Farms,Not applicable,Elgin County,Southwest,Approved,Not applicable,,,,,,,
Wal-Mart Canada Corp. Wind Turbine,1 turbine with total generation capacity of 0.02 MW,Wind,8032-8ELKMD,REA,Wal-Mart Canada,Not applicable,Halton Region,Central,Approved,Not applicable,,,,,,,
Zephyr Farms Limited's Brooke-Alvinston Wind Farm,4 turbines with total generation capacity of 10 MW,Wind,6250-8KFTCQ,REA,Watford Wind GP Corp. as general partner for and on behalf of Watford Wind LP,Not applicable,Lambton County,Southwest,Approved,Not applicable,,,,,,,
Mohawk College's Fennell Campus Wind Project,"2 turbines with total generation capacity of 
0.006 MW",Wind,6806-8LWKVQ,REA,Mohawk College,http://www.mohawkcollege.ca/environmental-sustainability.html,Hamilton ,West Central,Approved,Not applicable,,,,,,,
Conestogo Wind Energy Centre,10 turbines with total generation capacity of 22.92 MW,Wind,3558-8KTHJP,REA,NextEra Energy Canada,http://www.canadianwindproposals.com/,Wellington County,West Central,Approved,Not applicable,,,,,,,
Gesner Wind Energy Project,5 turbines with total generation capacity of 10 MW,Wind,3069-8NQQC7,REA,Saturn Power Inc.,Not applicable,Chatham-Kent County,Southwest,Approved,Not applicable,,,,,,,
Summerhaven Wind Energy Centre,58 turbines with total generation capacity of 128.82 MW,Wind,2484-8RQUS4,REA,"Summerhaven  Wind, LP",http://www.nexteraenergycanada.com/projects/summerhaven.shtml,Haldimand County,West Central,Approved,Not applicable,,,,,,,
South Kent Wind Project,124 turbines with total generation capacity of 270MW,Wind,2871-8UKGPC,REA,"South Kent Wind LP
(also Samsung Renewable)",http://www.southkentwind.com/,Chatham-Kent County,Southwest,Approved,Not applicable,,,,,,,
Grand Renewable Energy Park - Wind Component, 67 turbines with total generation capcity of  148.6 MW,Wind,0300-8UQPKR,REA,Grand Renewable Wind LP (also Samsung Renewable),http://www.samsungrenewableenergy.ca/haldimand,Haldimand County,West Central,Approved,Not applicable,,,,,,,
Port Dover Nanticoke Wind Farm,58 turbines with total generation capacity of 104.4 MW,Wind,2869-8VDRCV,REA,Capital Power GP Holdings Inc.,http://www.capitalpower.com/OurOperations/ProposedProjects/Pages/DoverNanticoke.aspx,Haldimand County,West Central,Approved,Not applicable,,,,,,,
Springwood Wind Farm Project ,"4 turbines with total generation capacity of 
8.2 MW",Wind,7563-8WYHXG,REA,wpd Springwood Wind Incorporated,http://canada.wpd.de/projects/in-canada/springwood.html,Wellington County,West Central,Approved,Not applicable,,,,,,,
McLean's Mountain Wind Limited Partnership Wind Farm,"24 turbines with total generation capacity of 
60 MW",Wind,7733-8XUNS5,REA,McLean's Mountain Wind LP also Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=14#m=2,District of Manitoulin,Northern,Approved,Not applicable,,,,,,,
Ostrander Point Wind Energy Park,9 turbines with total generation capacity of 22.5 MW,Wind,7681-8UAKR7,REA,"Ostrander Point GP Inc., as general partner for and on 
behalf of Ostrander Point Wind Energy LP",http://www.gileadpower.com/ostrander_documents.htm,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
Whittington Wind Farm Project,3 turbines with total generation capacity of 6.15 MW,Wind,4092-92XHMC,REA,wpd Canada Corporation,Not applicable,County of Dufferin,West Central,Approved,Not applicable,,,,,,,
C.J. Graphics Inc.,2 turbines with total generation capacity of 0.0048 MW,Wind,5491-95JTDB,REA,C.J. Graphics Inc.,Not applicable,Toronto Region,Central,Approved,Not applicable,,,,,,,
Bluewater Wind Project,41 turbines with total generation capacity of 60MW,Wind,7483-94DPRF,REA,NextEra Energy Canada,http://www.nexteraenergycanada.com/projects/bluewater.shtml,Huron County,Southwest,Approved,Not applicable,,,,,,,
Bornish Wind Energy Centre,45 turbine with total wind generation capacity of 72.9 MW ,Wind,2494-94QQ97,REA,Bornish Wind LP,Not applicable,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Dufferin Wind Farm,49 turbine with total wind generation capacity of 99.1 MW,Wind,5460-98BPH8,REA,Dufferin Wind Power Inc,http://www.dufferinwindpower.ca/Home.aspx,County of Dufferin,West Central,Approved,Not applicable,,,,,,,
Oxley Wind Farm,3 turbines with total generation capacity of 6.15 MW,Wind,3780-96UL7S,REA,Oxley Wind Farm,Not applicable,County of Essex,Southwest,Approved,Not applicable,,,,,,,
HAF Wind Power Project,5 turbine with total wind generation capacity of 9 MW,Wind,1590-979LNP,REA,Vineland Power Inc. (IPC Energy),http://www.wainfleetwindenergy.ca/hafwindenergy.ca/project_overview.html,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
St. Columban Wind Farm,15 turbines with total generation capacity of 33 MW,Wind,7042-96FQB7,REA,St. Columban Energy LP,Not applicable,Huron County,Southwest,Approved,Not applicable,,,,,,,
South Branch Wind Farm,10 turbines with total generation capacity of 30 MW,Wind,8279-974KHK,REA,South Branch Wind Farm Inc. ,Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
K2 Wind Farm,140 turbine with total generation capacity of 270 MW,Wind,3259-98EQ3G,REA,K2 Wind Ontario Inc. operating as K2 Wind Ontario Limited Partnership,http://www.k2wind.ca/about-us/,Huron County,Southwest,Approved,Not applicable,,,,,,,
Adelaide Wind Energy Centre,37 turbine with total  generation capacity of 60 MW,Wind,8980-95RSLP,REA,Kerwood Wind Inc.,Not applicable,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Ernestown Wind Farm,5 turbines with total generation capacity of 10MW,Wind,8798-998GRW,REA,Ernestown Windpark Inc. operating as Ernestown Windpark Limited Partnership,http://www.ernestownwind.com/project/site-description,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Goulais Wind Farm,11 turbines with total generation capacity of 25MW,Wind,3507-9ABJWH,REA,SP Development Limited Partnership (Sprott),http://www.sprottpower.com/projects/goulais,District of Algoma,Northern,Approved,Not applicable,,,,,,,
Wainfleet Wind Farm,"5 turbines with total wind generation capacity of 
9 MW",Wind,7159-97BQAS,REA,Wainfleet Wind Engery Inc. ,http://www.wainfleetwindenergy.ca/project_overview.html,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
Armow Wind Project,92 turbines with total generation capacity of 180MW,Wind,4544-9B7MYH,REA,SP Armow Wind Ontario GP Inc. operating as SP Armow Wind Ontario LP,Not applicable,County of Bruce,Southwest,Approved,Not applicable,,,,,,,
Napier Wind Project,2 turbines with total generation capacity of 4.1 MW,Wind,8388-9B7N4J,REA,wpd Napier Wind Incorporated,Not applicable,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Sumac Ridge Wind Farm Project,5 turbines with total generation capacity of 10.25MW ,Wind,8037-9AYKBK,REA,Wpd Canada Corporation, http://canada.wpd.de/projects/in-canada/sumac-ridge.html,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Suncor Energy Adelaide Wind Power Project,18 turbines with total generation capacity of 40MW,Wind,8279-9AUP2B,REA,Suncor Energy Products Inc.,http://www.suncor.com/en/about/4565.aspx,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Bow Lake Wind Farm,36 turbines with total generation capacity of 58.32 MW,Wind,8443-9BMG23,REA,Nodin Kitagan Limited Partnership and Nodin Kitagan 2 Limited Partnership (BlueEarth Renewables & Batchewana FN),http://www.bluearthrenewables.com/bowlakewind/,District of Algoma,Northern,Approved,Not applicable,,,,,,,
East Durham Wind Energy Centre,14 turbines with total generation capacity of 23 MW,Wind,7812-9E4QSC,REA,East Durham Wind Inc. (NextEra),http://www.nexteraenergycanada.com/projects/durham.shtml,County of Grey,Southwest,Approved,Not applicable,,,,,,,
Jericho Wind Energy Centre,97 turbines with total generation capacity of 150 MW,Wind,5855-9HHGQR,REA,NextEra Energy Canada,http://www.nexteraenergycanada.com/projects/jericho.shtml,Lambton County,Southwest,Approved,Not applicable,,,,,,,
Roubos Wind Farm,1 turbine with total generation capacity of 0.5 MW ,Wind,5440-9HCJ77,REA,Roubos Wind Farm,Not applicable,Wellington County,West Central,Approved,Not applicable,,,,,,,
Grand Bend Wind Farm,48 turbine with total generation capacity of 100 MW,Wind,5186-9HBJXR,REA,Northland Power,http://grandbend.northlandpower.ca/,"Huron County (spanning the municipalities of Bluewater and Huron South)
",Southwest,Approved,Not applicable,,,,,,,
Goshen Wind Energy Centre,72 turbines with total generation capacity of 102 MW,Wind,0558-9GUJ8T,REA,Goshen Wind Inc. (Next Era),http://www.nexteraenergycanada.com/projects/goshen.shtml,Huron County,Southwest,Approved,Not applicable,,,,,,,
Q1WEC (Quixote One),"1 turbine with total generation
capacity of 2.35 MW

",Wind,9132-9JGJTQ,REA,"Quixote One Wind Energy Corp.
(Leader Resources Services Corp.)
",http://www.lrsc.ca/?page_id=22,County of Bruce,Southwest,Approved,Not applicable,,,,,,,
Port Ryerse Wind Farm,4 turbines with total generation capacity of 10 MW,Wind,6498-9HKHN3,REA,Port Ryerse Wind Farm Limited Partnership,Not applicable,Norfolk County,West Central,Approved,Not applicable,,,,,,,
Cedar Point Wind Farm Project,46 wind turbines with total generation capacity of 100 MW ,Wind,6914-9L5JBB,REA ,Suncor Energy Products Inc.,http://www.suncor.com/en/about/4797.aspx,Lambton County,Southwest,Approved,Not applicable,,,,,,,
Grand Valley Wind- Phase 3,Up to 17 turbines with total generation capacity of 40MW,Wind,6457-9L6QLC,REA,Grand Valley Wind Farms Inc.,http://gretaenergy.com/our-projects/canada/grand-valley-wind-farms-phase-3,County of Dufferin,West Central,Approved,Not applicable,,,,,,,
Niagara Region Wind Farm,"77 turbines with total generation capacity of 
230 MW",Wind,4353-9HMP2R,REA,Niagara Region Wind Corporation,http://www.nrwc.ca/,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
Clarington Wind Farm,5 turbines with total generation capacity of 8.1 MW,Wind,8383-9R8PSW,REA ,"Clarington wind Power (GP) Inc. o/a Clarington Wind Power LP
(Leader Resources Services Corp.)
",http://www.lrsc.ca/?p=476,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Grey Highland Zero Emissions People Wind Park,5 turbines with total generation capacity of 10 MW,Wind,5663-9R9JTB,REA,"Grey Highlands Nominee (No. 1) Ltd. 
",Not applicable,County of Grey,Southwest,Approved,Not applicable,,,,,,,
ZEP Wind Farm Ganaraska,9 turbines with total generation capacity of 17.6 MW,Wind,1426-9RWTSS,REA ,Ganaraska Nominee Ltd. ,Not applicable,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Gunn's Hill Windfarm,10 turbines with total generation capacity of 18 MW,Wind,6862-9RDJZX,REA,Prowind Canada Inc.,http://www.prowind.ca/?page=projects-gunns-hill,Oxford County,Southwest,Approved,Not applicable,,,,,,,
Grey Highlands Clean Energy Wind Project,9 turbines with total generation capacity of 18.45MW,Wind,9022-9STQS5,REA,Wind Park GP Inc. o/a Grey Highlands Clean Energy Limited Partnership,http://greyhighlandscleanenergy.com/index.html,County of Grey,Southwest,Approved,Not applicable,,,,,,,
Settlers Landing Wind Park,5 turbines with total generation capacity of 10MW,Wind,8992-9TVSKD,REA,2224358 Ontario Inc. o/a Settlers Landing Wind Park Limited Partnership,Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Meyer Wind,2 turbines with total generation capacity of 4 MW,Wind,0682-9TGSHV,REA,Meyer Wind Power (GP) Inc. o/a Meyer Wind Power LP,http://www.lrsc.ca/?p=598,County of Bruce,Southwest,Approved,Not applicable,,,,,,,
Trout Creek Wind Project,3 turbines with total generation capacity of 9.6 MW,Wind,0180-9R8HTZ,REA,Trout Creek Wind Energy (GP) Inc. operating as Trout Creek Wind Energy LP,Not applicable,Parry Sound District,Northern,Approved,Not applicable,,,,,,,
Snowy Ridge Wind Farm Project,5 turbines with total generation capacity of 10 MW,Wind,2543-9TVSLU,REA,2224352 Ontario Inc. o/a Snowy Ridge Wind Park Limited Partnership,Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Majestic Wind,1 turbine with total generation capacity of 2MW,Wind,0103-9W7RMR,REA,Majestic Wind Power (GP) Inc. o/a Majestic Wind Power LP,http://www.lrsc.ca/?page_id=22,County of Bruce,Southwest,Approved,Not applicable,,,,,,,
White Pines Wind Farm,29 turbines with total generation capacity of 59.45 MW,Wind,2344-9R6RWR,REA,wpd White Pines Wind Incorporated,http://canada.wpd.de/projects/in-canada/white-pines.html,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
Amherst Island Wind Farm Project,26 turbines with total generation capacity of 74.3 MW,Wind,7123-9W9NH2,REA ,Windlectric Inc.,http://amherstislandwindproject.com/,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Skyway 126 Wind Energy Project ,5 turbines with total generation capacity of 10 MW,Wind,2496-9TKQW6,REA,2224374 Ontario Inc. operating as Cloudy Ridge Wind Park Limited Partnership,http://www.zeroemissionpeople.com/?avada_portfolio=zep-skyway-126,County of Grey,Southwest,Approved,Not applicable,,,,,,,
Belle River Wind Project,41 turbines with totoal generation capacity of 100MW,Wind,2765-A4ER2P,REA,SP Belle River Wind LP (Samsung and Pattern Energy),Not applicable,County of Essex,Southwest,Approved,Not applicable,,,,,,,
Fairview Wind Farm,8 turbines with total generation capacity of 16.4 MW,Wind,3948-9RDLRF,REA,"wpd Fairview Wind Incorporated 
",http://canada.wpd.de/projects/in-canada/fairview.html,Simcoe County,Central,Approved,Not applicable,,,,,,,
North Kent 1 Wind Project,36 turbines with total generation capacity of 100 MW,Wind,Not applicable,REA,North Kent Wind 1 GP Inc.,Not applicable,Municipality of Chatham-Kent,Southwest,Approved,Not applicable,,,,,,,
Romney Wind Energy Centre,18 turbines with total generation capacity of 60 MW,Wind,3397-AV3MVX,REA,"Romney Energy Centre GP Inc., as general partner for and on behalf of Romney Energy Centre Limited Partnership",Not applicable,County of Essex,Southwest,Approved,Not applicable,,,,,,,
Nation Rise Wind Farm,100 MW wind project,Wind,Not applicable,REA,"EDP Renewables Canada Limited, as general partner for and on behalf of Nation Rise WInd Farm Limited Partnership",Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
Lambton College Wind Turbine ,1 turbine with total generation capacity of 0.001 MW,Wind,Not applicable,REA,City of Sarnia,Not applicable,Lambton County,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
Wal-Mart Canada Corp. Wind Turbine,1 turbine with total generation capacity of 0.02 MW,Wind,Not applicable,REA,Wal-Mart Canada,Not applicable,Halton Region,Central,Application Returned /or Withdrawn,Not applicable,,,,,,,
Robert Jackson (Jackson Toyota),1 turbine with total generation capacity of 2.3 MW,Wind,Not applicable,REA,Robert Jackson,Not applicable,Simcoe County,Central,Application Returned /or Withdrawn,Not applicable,,,,,,,
River Canard Energy North ,1 turbine with total generation capacity of 0.5 MW,Wind,Not applicable,REA,River Canard Energy Inc.,Not applicable,County of Essex,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
Conestogo Wind Energy Park ,15 turbines with total generation capacity of 42.75 MW,Wind,Not applicable,REA,Invenergy Canada Wind 3 Limited o/a Conestogo Wind Power Partnership,Not applicable,County of Perth,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
Strong Breeze Wind Project,57.5 MW generation capacity,Wind,Not applicable,REA,Invenergy Canada Wind 3 Limited as general partner for and on behalf of Strong Breeze Wind Power Partnership,Not applicable,County of Elgin,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
Otter Creek Wind Farm,12 turbines with total generation capacity of 50 MW,Wind,Not applicable,REA,"Otter Creek Wind Farm GP Inc., as general partner for and on behalf of Otter Creek Wind Farm Limited Partnership",Not applicable,Chatham-Kent Municipality,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
Eastern Fields Wind Power Project,11 turbines with total generation capcity of 32 MW,Wind,Not applicable,REA,"Parc Eolien Champs De L'est (GP) Inc./Eastern Fields Wind Farm (GP) Inc., as general partner for and on behalf of Parc Eolien Champs De L'est Sec/Eastern Fields Wind Farm LP",Not applicable,United Counties of Prescott and Russell,Eastern,Application Returned /or Withdrawn,Not applicable,,,,,,,
River Canard Wind Energy Farm ,1 turbines with total generation capacity of 0.5 MW,Wind,Not applicable,REA,River Canard Energy Inc. ,Not applicable,County of Essex,Southwest,Refused,Not applicable,,,,,,,
Big Thunder Windpark ,"16 turbines with total generation capacity of 32 MW

",Wind,Not applicable,REA,Horizon Wind Inc.,http://www.bigthunderwindpower.ca,District of Thunder Bay ,Northern,Refused,Not applicable,,,,,,,
1630 Cox Creek Wind Project,1 turbine with total generation capacity of 0.0375 MW,Wind,Not applicable,REA,Christopher John Pembroke Snyder,Not applicable,Guelph,West Central,Application Returned /or Withdrawn,Not applicable,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
